ID	ProjectDescription	CandidateDescription	Preference
35	"Professional Engineer, active member of National Societyof Professional Engineers as well as being an active member of the State Boardof Engineers (preferably Florida Board of Engineers.)Scope of work:To study, verify, approve, sign, and sealtelecommunication tower foundation design (to be provided.)"	"Work with businesses to develop end-to-end operations leveraging industry leading practices Continuously works to identify new opportunities to decrease costs, increase revenues, improve retention, enhance quality and client satisfaction Focus on building and deploying go-forward model office plans (e.g. organize deployment, prioritizing benefits and minimize branch disruptions) Business Case / Planning Assess value at stake from transformational initiatives and potential implications for businesses Develop detailed business cases based on improvement opportunities in collaboration with multiple businesses and stakeholders Develop and implement detailed plans to ensure near term and long term objectives are planned and executed Transformation / Business Liaison Enlist steering committees to guide WNA's initiatives and serve as the leader / facilitator as needed Engage business / function leaders to drive the design and execution of transformational initiatives Program Leader/Coordinator Advance workstreams with oversight and leadership of one or more the key workstreams identified Design and end-to-end management of key business and operational initiatives (e.g. business opportunity assessments, operational efficiency assessments, operations and accounting process redesign, etc.) Provide expertise in building businesses and launching product offerings Business Acumen: Proven ability to translate strategic plans, objectives, and business goals into actionable, well-defined programs, projects, and initiatives Foundational experience and knowledge of Insurance business or significant external experience in related industry products, channels, and services Operations / Execution Demonstrated ability to identify, execute and manage significant engagements across Operations, Sales and Technology functions of the business Ability to track business / operational performance – target operating models, product development and launch, cost optimization, restructurings, etc Problem Solving: Strong analytical and problem solving background and associated skills (e.g. analyze market trends, voice of customer information, competitive threats, and product / sales / operational strategic needs) Ability to engage and lead ambiguous problem solving with teams to drive meaningful conclusion Communications: Outstanding written and verbal communication skills to effectively articulate and communicate business to senior leadership Fluency with spreadsheets (e.g., Excel) and presentation tools (e.g., PowerPoint) Team player Collaborative and team-oriented working style Optimistic, energetic and passionate in achieving business and operating success"	Y
36	"We are a PE firm that owns a business that puts on social events surrounding art activities working with third party hosts. We are looking to work with a consultant that can help us look at the competitive landscape of this space, and refresh our strategy going forward, as we believe it has changed since our acquisition. We would like to answer the following questions:-What is the current maturity level of the company relative to competition? Is it declining or increasing?-How big is the competitive landscape today? How big is the specific industry?-Are there other categories similar to this particular social event space that have taken off? Should we consider getting involved in these categories?We also envision conducting a consumer survey of sorts to better understand data points surrounding customer feedback.More information to be shared with those that submit a pitch."	"Creation of impactful though leadership for use in business development, engagement delivery, as well as marketing to build EY’s profile High degree of commercial acumen and familiarity with strategy frameworks and methodologies LI-MANUAL-POST-JOB*"	N
37	We are looking at an add-on acquisition for an existing portfolio company and would like to get some insights into a targeted question that we have on the business. The company has two products that do the same thing _ one with a legacy tech format and the other with the new format. We are trying to get some market insights to roughly validate that decline in sales of the legacy format product will be cancelled by gains in sales of new format product. We have names of customers and companies that would be good to talk to. We envision the scope being ~20 conversations and a summary of perspectives on our hypothesis. Would ideally be a ~2 week engagement.	"Support the SVP, Talent Development & Strategy in developing the strategic plan for attracting talent to the Network and Studios Advise on overall talent positioning strategy and provide specialized consistent service to the various departments within all areas of Telemundo Media Provide guidance and coaching to talent and assist with talent development in order to optimize talent potential Support SVP, Talent Development & Strategy in maintaining and developing strong relationships and regular contact with talent representatives (agents, managers, publicists, attorneys) Recommend strategies for scouting, evaluating and recruiting talent through various methods such as castings, auditions, interviews, etc Assist the SVP, Talent Development & Strategy with internal and external talent requests to ensure proper execution and alignment with overall strategy Advise and make recommendations on how to match talent with revenue generating opportunities Working with SVP, Talent Development & Strategy, analyze and identify opportunities for “360 relationships” with appropriate talent Advise local stations on how to improve our service and commitment to charitable and community organizations, concurrently generating opportunities to showcase our talent and assist with implementation Minimum of 5+ years of experience in the Entertainment or Television industry Minimum four year college degree or equivalent years of experience Proficient in English and Spanish Must be extremely organized and able to focus attention and manage details on multiple projects at the same time; organize, prioritize and follow-through Strong initiative, creativity, sense of drive and ambition"	N
38	"We are looking for a consultant to help us conduct market research on automotive returnable packaging . We are trying to evaluate the specific market itself, but also understand the risks/trends where the market is exposed (logistics, automotive industry, materials, etc.)We have a preliminary understanding, but we're seeking a resource that can help us build out a more robust analysis. The ideal candidate/team would have strong experience with this market already or very near adjacent markets. If not, the consultant should pitch their experience in the broader automotive or industrial space with specific examples of how you've supported similarly ""niche"" markets."	"Works collaboratively with Role Strategy, Compensation and the Senior Manager, Performance Strategy to design & develop short term incentive (STI) strategies and frameworks that support RBC’s goals and objectives, ensuring programs are motivational, financially viable and generate the highest return on investment Works collaboratively with Role & Sales Strategy, Capacity Optimizations Managers and the Senior Manager, Performance Strategy to lead current market resource and sales planning processes that support RBC’s goals and objectives, ensuring the measures, insights and tools enable enterprise leaders to make strategic business choices for their market that are motivational, financially viable and generate the highest return on investment Design and develop performance metrics & reporting to support weekly/monthly/quarterly management routines and incentive programs Design and develop capacity-related metrics & insights reporting to support market & sales planning and capacity management Works independently and in smaller teams to operationalize various components of CB performance, incentive & capacity-related measures & programs, assessing impacts, recommending options and executing on outcomes Partners closely with Communications & Delivery group to roll out new and revised performance, incentive & capacity programs to Enterprise & Sales Leaders through various mediums, including Leo TV, resource guides, websites, etc Works closely with IT, Project Management, Performance Information Reporting to define business requirements, work through the various stages of the project from idea creation to execution Support field change management & communication by providing content to support development of communication material and reviewing drafted material Conduct research on the development and fulfillment of leadership, sales metrics Collaborate with partners to meet Sales and Service Performance Management team objectives Education required BA/BSc Strong business & organizational knowledge, performance management, planning and implementing capabilities with a knowledge / experience across Canadian Banking Minimum 2 years of experience in sales management Flexibility to adapt to change, work in teams, and think independently Extremely Proficient with MS Office Programs (Power Point, Excel, Outlook, and Word) Strong analytical and math skills, with high intellectual curiosity and ability to interpret results and outcomes post-launch of an initiative Excellent knowledge of RBC Banking leadership, sales and service roles within various delivery channels Excellent written, oral communication and strong impact & influence competencies Strong leadership, teamwork and co-operation"	N
39	"We are a global alternative investment manager. We are looking at an opportunity in the European Market in the temporary / semi-permanent modular building space. We are seeking an individual who can help us quickly(i) assess the market dynamics / trends; (ii) assess the business model economics; and (iii) appraisal of the modular unit portfolio. A key work stream is the appraisal of the modular unit portfolio.We would like this work to start immediately - Fri. Nov. 15th - and be completed no later than Fri. Nov. 23.Our ideal consultant has worked in this industry before. Given the importance of the valuation work, we ideally would like to work with a former CEO or Head of Sales for a main player in the space who can appraise the different types of modules and provide a view on the asset approval and the outlook for the industry.Below is an overview of the key questions we are trying to understand:Appraisal of the modular unit portfolio: Desktop research to assess the second-hand value of the different types of modular unitsMarket dynamics / trends: Generally, is this is a growing market in EuropeWhat are the attractive / competitive geographies or end-marketsWhat are the customer trendsWhat are the competitive / pricing dynamicsAssess the business model economics: Summary of how these businesses make money (ie. rental rates, contract duration, up-selling additional services) to assess how profitable it can beBenefit of having production capabilitiesBenefit of a global footprintBenefit of a sales and rental modelTypes of Modular Buildings Include:Military / Refuge tentsModular BuildingsModular UnitsIndustrials BuildingsLarge Marquees*The consultant we engage should have a sound understanding of all the different modular unit types and how to assess their value. We will not be interested in people who only know one segment such as modular buildings.Main Players in the industry include:Commercial and Public: Algeco, Alho Group, Haltec, Goldbeck Event premium: Neptunus, Roder, Arena, GL Events (public company)RDS temporary space Utilis, Alaska Structure, NorLense, i-4"	"Work with businesses to develop end-to-end operations leveraging industry leading practices Continuously works to identify new opportunities to decrease costs, increase revenues, improve retention, enhance quality and client satisfaction Focus on building and deploying go-forward model office plans (e.g. organize deployment, prioritizing benefits and minimize branch disruptions) Business Case / Planning Assess value at stake from transformational initiatives and potential implications for businesses Develop detailed business cases based on improvement opportunities in collaboration with multiple businesses and stakeholders Develop and implement detailed plans to ensure near term and long term objectives are planned and executed Transformation / Business Liaison Enlist steering committees to guide WNA's initiatives and serve as the leader / facilitator as needed Engage business / function leaders to drive the design and execution of transformational initiatives Program Leader/Coordinator Advance workstreams with oversight and leadership of one or more the key workstreams identified Design and end-to-end management of key business and operational initiatives (e.g. business opportunity assessments, operational efficiency assessments, operations and accounting process redesign, etc.) Provide expertise in building businesses and launching product offerings Business Acumen: Proven ability to translate strategic plans, objectives, and business goals into actionable, well-defined programs, projects, and initiatives Foundational experience and knowledge of Insurance business or significant external experience in related industry products, channels, and services Operations / Execution Demonstrated ability to identify, execute and manage significant engagements across Operations, Sales and Technology functions of the business Ability to track business / operational performance – target operating models, product development and launch, cost optimization, restructurings, etc Problem Solving: Strong analytical and problem solving background and associated skills (e.g. analyze market trends, voice of customer information, competitive threats, and product / sales / operational strategic needs) Ability to engage and lead ambiguous problem solving with teams to drive meaningful conclusion Communications: Outstanding written and verbal communication skills to effectively articulate and communicate business to senior leadership Fluency with spreadsheets (e.g., Excel) and presentation tools (e.g., PowerPoint) Team player Collaborative and team-oriented working style Optimistic, energetic and passionate in achieving business and operating success"	N
40	"We are a global CPG company pursuing a growth initiative within one of our P&L's. We need a consultant to perform a survey with our customers and our internal stakeholders in order to collect data (pain points, what's going well, what's not going well, etc.) we can use in developing our growth strategy.We have 300 customers and we a limited set of internal stakeholders. More details to follow."	"Master degree in relevant discipline Lean/Six Sigma certification from recognized provider Proven ability to manage change and to work together with different levels throughout the organization Proven analytical, communication and interpersonal skills Persuasive powers and proven training skills Proven consulting skills"	Y
41	"We are an international boutique strategy consulting firm focused on revenue growth. We help Mid-Caps and Private Equity investors assess organic growth (sales effectiveness, pricing, new customer segments, new geography, new product / service) and / or M&A opportunities, globally and to do so -among other things- we leverage primary research, i.e. customer, competitors, expert calls.As our pipeline is expanding we are looking for consultants to join our bench to support future assignments and help with the following activities:Source interviewees (identification and outreach)Run the interviewsWrite-up the interview notesSummarize the findingsWe are looking for:Former strategy consultantsWith at least2 years of strategyconsulting experience andat least4-5 market studies and / or due diligence under their beltWith direct experience in theaforementioned activities(please describe in your pitch)Ideally industry generalistsBased in the USA and Western EuropePlease note that while needs might not be immediate, if a fit, they are likely to come throughout the year.If interested, please indicate in your pitch:Years of direct relevant experience# of such projectsExample redacted deliverablesLanguages you can conductbusinessinSuggested rate (either daily or by call)Thank you!"	"Proven ability to translate strategic plans, objectives, and business goals into actionable, well-defined programs, projects, and initiatives Operations / Execution Demonstrated ability to identify, execute and manage significant engagements across Operations, Sales and Technology functions of the business"	N
42	"We are looking for a Data Scientist to help usbetter understand the segmentation of our consumer electronics customers basedon their product usage data. Additionally, we are interested in discoveringpatterns in their multi-product usage.Our current tech stack includes AWS(S3, ECS, SQS, Lambda) and Cloudera analytics platform.Your role will be to work with us on:á Developing/researching Data Science/Machine Learning models thatcan be leveraged to extract insights that will enable us to better understandBose customer. á Identifying gaps in data that can lead to better models/insights. á Identifying/developing frameworkto effectively communicate these insights to various internal customers Skills/Experienceá 5+years experiencein Data Science/Machine Learningá Experience in manipulating/managing/processing large sets of structured dataá Python and SQL fluency required.á Experience with: AWS infrastructure,including Lambda, SQS, ECS, EC2, S3á Demonstrated knowledge of/experience with the following a big plus: Cloudera Data ScienceWorkbench Amazon Sagemaker"	"8+ years of experience in a professional work environment Ability to work in a mix of commercial and public sector environments Ability to transform and modernize historically conservative sectors, including energy and utilities Ability to work with the federal government to transform the way services are delivered to citizens Ability to work on fast-paced commercial engagements, including outside of business hours Ability to meet client travel requirements when they arise Experience with management consulting or at a start-up or tech firm, focusing on digital strategy, Web technologies, or mobile application design Experience with financial modeling, statistical analysis, or data mining Experience with building product and services around big data analytics MBA or MA or MS degree in a related functional field, including product design, data analytics, technology, marketing, and communications"	N
43	"We are a leading business incubator in the NE and are looking for a startup strategy expert or team to support one of our medical device startups withMarket Research to substantiate the market opportunity in terms of TAM, SAM & SOMMarket Entry Strategy 5 year financial model with appropriate financial statements and key metricsFundraise pitch developmentDeliverables include:Market research write up on TAM, SAM; Customer segments and Ideal Customer ProfilesCompetitive Analysis & Trends write-up including Industrytrends and Competitive landscape, Financial Model with Income statement, Balance sheet, Cash flow statement, Hiring scheduleand compensation, and fundraise requirementPitch deck and investment teaser"	"Sound working knowledge and experience using and applying process improvement best practices/techniques, lean six sigma and project management skills in a structured project environment Demonstrated experience modeling business processes using a variety of tools and techniques Ability to work with little or no direction in environments resistant to change or unable to change quickly Exceptional communication skills and the ability to communicate and present appropriately at all levels of the organization through written and verbal methods Excellent influence management skills Ability to work across multiple, distributed, silo’d, functional groups Strong enterprise-wide vision, seeing the big picture, recognizing critical details and dealing with ambiguity Aptitude for understanding organization operations and culture Strong proficiency in Microsoft Office and software applications involving dynamic models and process flows Proven ability to effectively facilitate a training session, one on one, or with a group"	Y
44	"We are a private equity ownedgrowingnationalleader in sports nutrition e-commerce and retaillooking for a take-charge marketerto help position and market a portfolioof five brands for significant growth in 2019. Our ideal candidate will have:- Experience in sports nutrition is a must- Great track recordof successful copywriting fordigital, print, and merchandising- Understanding of pricing & promotion strategies forsports nutrition and CPG brands and audiencesWe would look to bring someone on for 90 days and extend if thecandidate performs well. Toronto or Omaha based consultants are preferred, butremote will work for the right candidate. At a minimum we will need theconsultant to be able to spend a week in Omaha at the start."	"Market Research, Employee Fixed TermResume Examples & Samples All business marketing functions, digital marketing, creative services, events, media buying and advertising, as well as all regional marketing teams under the Global Chief Marketing Officer (CMO) All internal and external communications, media relations and public relations efforts of BlackRock under the Head of Global Corporate Communications Business management, analytics and research functions for the GMC organization under the Global Chief Operating Officer (COO) All brand initiatives and strategic messaging under the Head of Global Brand and the Head of Strategic Messaging Estimate minimum 6-8 years market research experience A “Can-do” attitude and a willingness to learn and succeed Financial services experience helpful but not essential Some knowledge of B2B research preferred Strong project management, organisational, planning and time management skills; ability to manage multiple deadlines Excellent written and verbal communication skills a must Experience dealing with both qualitative and quantitative datasets Proven ability of being able to articulate complex points clearly and concisely Proven ability of being able to tie research findings back to strategic business objectives Motivated with natural curiosity and a willingness to be flexible Capacity to work effectively and efficiently in a fast-paced and dynamic environment Some knowledge of statistical techniques preferable, e.g. regression analysis"	Y
45	"Key Responsibilities:Managing project plan for assigned product launch which include working with the project team to create the project plan, set timelines, track milestones, and forecast budgetary and resourcing needs until plan completion.Facilitate launch planning process for assigned product; Partner with Medical Lead and/or Launch Lead to define the planning team, set meeting cadence, identify project objectives, build meeting agenda and conduct project meetings, review the project plan periodically with the project team, and ensure completion of assigned action items and deliverables in a timely manner.Ensure completion, accuracy and timeliness of key deliverables as defined by the CMO Launch methodology which include but not limited to launch plan, activities tracker, resource plan, etc.Generate periodic status reports to identified stakeholders and escalate any project risks or issues to the Global Medical Excellence or Medical Leadership teams, as appropriateQualifications:BachelorÕs degree required, MBA or PMP preferredMinimum 5 yearsÕ experience in a Project Management or Product Launch roleLife Sciences/Pharmaceutical Industry experience required, Medical Affairs experience preferredEstimated # of hours/week:40 hoursLocation:Irvine, CA preferred; Madison, NJ consideredTravel:Limited travel may be required due to launch meetings between the Irvine and Madison office locations, estimated to be 1 per quarter"	"At least 4 years experience in Finance Transformation consulting or working in a Finance Function At least 2 years experience in Project / programme across the full project life-cycle At least 1 year experience in understanding of the relevant underlying enabling technologies Certified in Financial or Management Accounting qualification (for example ACCA, CPA, CIMA) German: Fluent"	N
46	"We are looking for a consultant to help us with customer calls and churn analysis.N: ~15-20 completed callsWe will provide the consultants with the logo name, but it will be on the consultant to identify the target individuals and incentivize them to get on the phone. The target profile are individuals in the office of the CFO (CFO, Controller, VPs of Finance, Head of FP&A, etc.)The objective is to understand why customers churned and the target lost customer accounts."	"Structure complex, ambiguous, and potentially charged business issues for executive team Lead execution against recommendations quickly and with flawless accuracy Identify and analyze new opportunities for Motorola regarding technologies, product categories and/or business models Develop business cases and gap analyses for new opportunities Monitor the industry landscape, identify threat, opportunities and implications to Motorola Experience managing large complex projects Effective communicator with C-level executives Ability to analyze financial statements and build business cases Experience conducting market or competitive analysis, strategy, product management or product marketing"	N
47	"We are a PE firm that is looking to bring in a consultant who has worked with high performing orgs in helping our team with the delivery of feedback throughout our organization.We need to develop more advanced skills in providing quality feedback to one another. Traditionally, weÕve done 360s annually but are exploring more frequent touch points in fewer, concentrated areas. We are looking for someone that can work with both the organization as a whole, as well as help individuals develop and enhance delivery and communication of feedback."	"Gather and analyze massive amounts of information expeditiously and develop compelling, insightful recommendations Monitor the market for important new technology or business models by competitors or small companies and analyze implications to Motorola Use a variety of sources to proactively anticipate how technology, competitors or market spaces may evolve Help improve team operations, in terms of planning, deliverables, managing tools and knowledge 5+ years mobile industry experience, management consulting or investment banking Ability to structure ambiguous issues, extract key points, and synthesize findings High proficiency with Excel (dealing with large data sets, modeling) and PowerPoint Experience conducting market analysis or competitive analysis Understanding of the mobile industry and/or technology, including hardware and software basics Proficiency with Google docs LI-JC1"	N
48	"We are a startup in the incubator of a major retailer. Our data/analytics team is currently scaling but we are left with a backlog of projects and skillsets in the meantime while full time employees are brought on and ramped. Our short term needs require a Director of BI level consultant (+ 1 analyst) to help with the following:Proficient in BI tool Looker and would can help make modelling changes in LookerIf not fluent in Looker, SQL or Tableau is also acceptable as the languages are very similarSupport our business with ad-hoc request and make sure that we continue to have visibility into what our business is telling us.There are several new data streams that are currently moving into our Big Query DWH and we need to build those out into Looker so the business can access in real timeHold office hours and help answer questions for the team if they can't solve challengesOther important information:As mentioned above, ideal Director level consultant would be able to bring their own analyst level person (Catalant can assist with connection if needed)Initial engagement will last 8-9 weeks with potential to extendConsultants need to be experts in SQL and/or Python or a statistical package, such as R, SPSS or Stata, and canadvise on statistical significanceIdeally consultants can be on-site but at a minimum would need 2-3 days per weekMore to come on initial screening calls. Please provide resume/bio with initial bid."	"High proficiency with Excel, PowerPoint and Google Docs Ability to zoom in and out; to understand the big picture but also Bachelor’s degree and 3+ years of work experience Understanding of the mobile industry and/or technology, including"	N
49	"We are an international boutique strategy consulting firm focused on revenue growth. We help Mid-Caps and Private Equity investors assess organic growth (sales effectiveness, pricing, new customer segments, new geography, new product / service) and / or M&A opportunities (commercial due diligence).As our pipeline is expanding we are looking for consultants to join our bench to support future assignments and help with the following activities:Source interviews, run calls, write up findingsSecondary researchData crunchingAnalysis and write-up of findings (powerpoint)We are looking for:Former strategy consultantsWith at least2 years of strategyconsulting experience andat least4-5 market studies and / or due diligence under their belt)With direct experience in theaforementioned activities(please describe in your pitch)Ideally, industry generalistsBased in the USA or Western EuropePlease note that while needs might not be immediate, if a fit, they are likely to come throughout the year.If interested, please indicate in your pitch:Years of direct relevant experience# of such projectsExample redacted deliverablesLanguages you can conductbusinessinKnowledge of big data tools (e.g. Tableau, BI, Alteryx) and /or other ÒspecialÓ skill (e.g. scraping)Suggested daily rateThank you!"	"Leads, coaches, mentors and trains others in using established process improvement methodology Consults with management and other process owners to identify and define process improvement opportunities Develops and presents business cases to senior management sponsors Provides subject matter expertise in financial services operations processes associated with client transactions Ensures policies, procedures and regulatory requirements are considered in process reviews Drives operational process improvements using statistical methodologies, including identifying causes of process inefficiencies and designing process re-engineering solutions Develops and implements standard process improvement methodology Develops programs to formalize process improvement as a core competency Prepares and delivers written and oral presentations to senior management Maintains currency in process improvement techniques, methodologies and practices Operates standard office equipment and uses required software applications Financial services operations, including transaction processing, reporting and related systems Operations systems, core functions and interrelated processing requirements Advanced concepts, principles, practices, tools and strategies of process analysis and improvement Analyzing business processes and identifying process improvement opportunities Developing complex business cases Developing and implementing process improvement methodology Developing programs to formalize process improvement as a core competency Preparing written and oral presentations Translating broad concepts into specific actions and related success measures Lead, coach, mentor and train others Provide strategic vision and translate strategy and vision into actions and related success measures Thrive under pressure and adapt to conflict situations Incorporate needs, wants and goals from different business unit perspectives into process improvement initiatives Identify linkages and trends and apply findings to process improvement initiatives Prioritize and manage multiple projects and priorities in a fast-paced, dynamically changing environment Work collaboratively with multiple functional areas Lead others in handling change and stressful situations and providing a high level of customer service in a calm and professional manner Establish and maintain effective working relationships at all levels of the organization, including negotiating resource) Maintain currency in process improvement techniques, methodologies and practices Bachelor's Degree and a minimum of eight (8) years relevant consulting and/or process improvement experience"	N
50	"A premier hospital system seeks a Dallas/Ft. Worth-based junior consultant to support a number of strategic initiatives during a minimum of 4 months, potential 6 month engagement. Candidates should have a fluency with business data analysis, PPT deck building, project management, strong presentation skillsand the ability to interface effectively with internal stakeholders across the organization.The ideal candidate will have a high-level strategy consulting background, as well as project management and executive-level presentation experience. A background working with hospitals or health systems and experience utilizing Tableau is preferred but not necessary.Workload will include:Following up with teams across the business to ensure strategic questions are answered and teams are implementing the planManaging stakeholder communicationsDeveloping competitive analytical intelligence reports (such as finance and spend volumes for services & offerings v. competitors)Ad hoc projects, including development of additional reports and dashboards from data at various hospitals"	"Supports the assessment, design, and delivery of enterprise-wide process improvement initiatives spanning multiple Business Lines / Functions Conducts project planning, data collection/analysis/synthesis, SME interviews, process mapping, gap analyses, and solution development Evaluates improvement opportunities and helps define solutions to reduce complexity, improve customer experience, increase productivity, and reduce costs Formulates recommendations and implementation plans"	Y
51	"One day while sitting in a very cool coffee shop enjoying the vegetarian lunch, watching the unique programming on the one TV screen (programming which switched from an old Ali/Frasier fight to a woman's long boarding documentary to a California surfing visual feast), listening to amazing rythmic soft music, visually seeing all the clean design elements of the shop, I turned to the owner and said, ""I wish there was a place like this where I live"". Business Need:Seeking an expert to create a business plan that includes necessary elements such as business strategy, financial modeling, competitive analysis, market research and creative determination to whether a viable business exists and to answer the ultimate question whether this is a good business that should come into fruition. The business has several elements to explore. The idea is to seek answers to whether and what pieces of the ideas make sense for a business model that will bring enjoyment to serving people of this community and will generate enough monetary energy to be viable and possibly a model for others."	"Investment concepts, practices and procedures used in the securities industry and Service industry Call Center and Operational Processes including Case Management and it's application to operations/ Business Process Management and Business Process Management tools Bachelor's Degree and a minimum of eight (8) years relevant consulting, Operational Management, Service Delivery and/or process improvement experience Implementation and Design of call tracking and Case Management systesm"	N
52	"We are a real estate technology company looking for a consultant to help us evaluate various potential growth strategies outside of our core real estate investment management business.Key competencies for the assignment include an in-depth understanding of the real estate investment and real estate tech space (business models, client value props, competitive landscape, etc). Must be able to evaluate and compare SaaS, investment management, and marketplace business models. Deliverables will be a mix of qualitative perspective and quantitative, research-driven findings. Primary areas of responsibility include:1) An in-depth industry analysis2) Test our view on customer value prop3) Evaluate our competitive positioning4) Evaluate our proposed menu of options; recommend additions and refinements.The ideal candidate has a strong strategy consulting background, having done similar projects to this in the past. Real estate exposure is a plus.Ideally, we would kick this project off in late November/early December with the goal of having our growth strategy identified by mid-late February."	"Knowledge of successful approaches, tools, and techniques for dealing with changes and adapting to a changing environment; ability to adapt as needed Knowledge of approaches, tools, techniques for recognizing, anticipating, and resolving organizational, operational or process problems; ability to apply this knowledge appropriately to diverse situations Knowledge of effective influencing tactics and strategies; ability to impact decisions within and outside own organization Ability to manage the successful and smooth transition from current to desired culture, practices, structure, and overall organizational environment Knowledge of the philosophy, principles and implementation approaches to lean manufacturing"	Y
53	I would like a research report completed on a specific Enterprise Asset Management software business. The main deliverables include:Competitive feature / pricing matrix across top five competitors in the space - including which solutions are specialized by end-marketCustomer satisfaction across competitive setPrioritization of what factors drive customer purchase decisions	"Manages and leads process improvement initiatives involving one or more functions and project teams to promote quality culture and drive the quality improvement process for a subsystem or component of a product or service offering Develops schedules, critical deliverables, budget, resource allocation plan, and other support requirements for assigned program Coordinates activities of supporting project teams and internal and external partners; tracks progress against established plan and makes decisions to alter or update schedule and resource allocation to meet product requirements and development schedule Communicates progress, escalations, and issue analysis to stakeholders; collaborates with management and internal development, manufacturing and service delivery partners to implement changes to product, process, or program plan to resolve escalated issues, produce solutions, and ensure adherence to budgets and established product roadmaps and schedules Provides guidance and mentoring to less-experienced staff members Bachelor's or Master's degree preferred Project management certification such as PMP/PMI certification preferred Lean Six Sigma or other Quality certification preferred At least 6 years of experience required Using project planning tools and software packages to create, manage, and track project results Demonstrated experience coordinating and directing matrixed teams and resources Ability to create and manage program schedules, budgets, and resource allocation plans Ability to effectively communicate project plans, proposals, and results, and negotiate options at management levels"	N
54	"Data Analysts Requirements _ Understand asset management space, particularly securities time series, MSCI Barra risk factor models security classification, and trade life-cycle. The primary technical skillset is MS Excel and SQL. Part of a larger Data Analyst team to analyze the data for ingestion into a Data Warehouse for further analysis. Knowledge of Global Markets, financial products (Equity, Equity Swap, Futures and Options, Fixed Income, FX Spots and Forwards) , and how they are structured and traded.¥ Proficient and experience in using SQL for data querying and analysis¥ Strong data analysis skills and ability to present findings in a simple yet comprehensive way¥ (nice-to-have) knowledge of equity fundamental data and BARRA risk factor models¥ (nice-to-have) experience with Python, NumPy, Pandas"	Ensure standardization of processes within the Medicare environment Promote the implementation of best practices Prior demonstrated experience with process improvement or process design and implementation roles Master’s Degree or Business Administration Project Management certification	N
55	"We are a startup blockchain/crypto company focusing on security tokens for loyalty marketing programs.We have gone through product ideation/roadmapping, built out collateral (white papers, pitch decks, executive summaries, etc.), and conducted our own analyses of the market opportunity and valuation, and we're now in discussions with potential investors.We would like to engage a seasoned equity analyst to help us put together a polished and professional valuation analysis.This is a quick turnaround need - we will need the materials completed over the next 3-5 days."	"Design, guide and oversee the development and implementation of processes, metrics, and reporting which meet the requirements of Agency Operations Create and lead initiatives for special projects, developing a greater understanding of systems and environmental issues in the process Review, analyze, identify key processes and make recommendations for issue resolution within MarketPOINT operations Create and maintain various databases and produce accurate and easy to understand reporting, trend analysis and statistics for our changing business model Improve processes by identifying problems or inefficiencies, researching solutions, make recommendations and documenting the final results Develop and strengthen MarketPOINT’s relationship with the field at every opportunity Research and resolve all manner of inquiries from the field for all distribution channels for MarketPOINT Actively participate in on-going efforts to improve processes and streamline functions Lead programs and/or projects for MarketPOINT that interact across the enterprise Ensure standardization of processes within the MarketPOINT Agency Operations environment Microsoft Office Proficiency (Access, VBA, Excel) SQL Server Experience (T-SQL, SQL, SSIS, Writing procedures and packages) Ability to provide meaningful or insightful information to a diverse target audience Ability to measure both quantitatively and qualitatively Project Experience"	N
56	"Our company provides infrastructure for customer data that helps businesses to collect, merge, standardize, then deploy that data to the tools that use it (marketing, analytics, warehousing, etc.).Clients use our product to serve a variety of different needs, and we would like to build out several different ""recipes"" or case studies to describe the different use cases and give potential clients a better sense of how our product can be deployed.We plan to both post these recipes to our website and convert them into collateral.The scope of the initial phase of this project would be to build out recipes for 2-3 different use cases; that said, it is likely that we would probably expand to 5-6 should this initial phase prove successful.Candidate:An understanding of marketing technologies (data collection, how javascript libraries work, etc.) would be helpful. We really need somebody with expertise in building case studies, but we would like this person to have some understanding of the technology."	"Director of Market ResearchResume Examples & SamplesWork with business partners identify research needs and opportunities to set research objectivesDesign and execute the loyalty tracking studyIntegrate results from statistical analysis of the Loyalty study findings with business metrics and customer behaviorsDevelop insights and actionable recommendations and communicate findings through reports and presentations to managementManage offshore staff in support of ongoing study management and reportingManage a budget of between $1.0-1.2M in research costs7 to 10+ years of related marketing, consulting or market research experience with a college degree (Master's Degree preferred)Experience with loyalty and tracking research studies is requiredExperience with identifying the business implications from primary customer research/data analysisExperience with statistical analysis, text mining, and analyzing survey data with database informationExperience in financial services business preferredExcellent organizational, project management and process management skillsExcellent analytical skills, as demonstrated by a track record of thought leadership and problem solving activitiesExcellent oral communications, writing and presentation skills, has a deep interest in developing insights and recommendations for senior managementStrong statistical software and PowerPoint aptitude"	Y
